iter	MultiClass
0	1.046785366
1	0.9980674632
2	0.9539062305
3	0.913294162
4	0.8752091082
5	0.8430132747
6	0.8158133644
7	0.790235229
8	0.7649066744
9	0.7405490351
10	0.7175325971
11	0.6995519386
12	0.6797331177
13	0.6601866003
14	0.64186439
15	0.6270273303
16	0.6124785344
17	0.5986085386
18	0.5859586371
19	0.5746981222
20	0.5636259854
21	0.5538433283
22	0.5432025087
23	0.5343107935
24	0.5264558417
25	0.517902583
26	0.509857224
27	0.5028097971
28	0.4961168284
29	0.4889358416
30	0.4818265946
31	0.4755995931
32	0.4693273515
33	0.4629437029
34	0.4576316668
35	0.4533897426
36	0.4484953864
37	0.4436696019
38	0.4391943812
39	0.4353409803
40	0.431109831
41	0.4265934587
42	0.4224140088
43	0.4196430471
44	0.4158777494
45	0.4126855285
46	0.4090515482
47	0.4054313119
48	0.4031121613
49	0.4009401844
50	0.3976209675
51	0.3941460689
52	0.3914365131
53	0.3885631048
54	0.386358288
55	0.3844416208
56	0.382866042
57	0.381251631
58	0.3788730143
59	0.3763309225
60	0.3750474599
61	0.3731786921
62	0.3718450916
63	0.3705616976
64	0.3692298596
65	0.3676252899
66	0.3667292256
67	0.3652699397
68	0.3643011388
69	0.363297579
70	0.3616399024
71	0.3602309437
72	0.3587062619
73	0.3579435867
74	0.3567850946
75	0.3555995667
76	0.3547135709
77	0.3535705189
78	0.3520804355
79	0.3513636528
80	0.3505141188
81	0.3497050243
82	0.3483783881
83	0.347207952
84	0.3464666137
85	0.3460648178
86	0.3450841397
87	0.3447312265
88	0.3441911147
89	0.343707943
90	0.3430083941
91	0.3424084545
92	0.3419487726
93	0.3414057123
94	0.340490076
95	0.3398736531
96	0.3392667357
97	0.3388682181
98	0.3380246175
99	0.3370876244
100	0.3365117543
101	0.3360325972
102	0.3356383863
103	0.3351380946
104	0.3346150029
105	0.3340114144
106	0.3332218979
107	0.3327862536
108	0.3321953077
109	0.331308871
110	0.3310045686
111	0.3306919017
112	0.330448753
113	0.3301161778
114	0.3292895437
115	0.3289153148
116	0.3285528677
117	0.3280628665
118	0.32775875
119	0.3275526274
120	0.3272302899
121	0.3269717505
122	0.3267085628
123	0.3265105339
124	0.3264107636
125	0.3260708066
126	0.3258913283
127	0.3257322945
128	0.3252424097
129	0.3250513313
130	0.3244294412
131	0.324131847
132	0.3240156902
133	0.3235447427
134	0.3230124497
135	0.3228396996
136	0.3226280183
137	0.3220727939
138	0.3216753645
139	0.3210711377
140	0.3203682142
141	0.3200148375
142	0.3194372585
143	0.3191771052
144	0.3190046443
145	0.3187459394
146	0.3183850579
147	0.3180007209
148	0.31775606
149	0.317611324
150	0.3173858695
151	0.3172867589
152	0.3168450024
153	0.3165409209
154	0.3162066613
155	0.316047811
156	0.3159197078
157	0.3157360887
158	0.3153181862
159	0.3149345099
160	0.3147752117
161	0.3143475294
162	0.3141303234
163	0.3139180725
164	0.3138701897
165	0.3136837008
166	0.3135476572
167	0.3134462065
168	0.3132840483
169	0.3131165029
170	0.3130170675
171	0.3128140372
172	0.3126944508
173	0.3125982677
174	0.3125094004
175	0.3123825588
176	0.312271508
177	0.3120614114
178	0.3119173208
179	0.3117974659
180	0.311729964
181	0.3115933634
182	0.3113932884
183	0.3111752821
184	0.3110956296
185	0.3109372812
186	0.3108541582
187	0.3106799698
188	0.310523786
189	0.3102751044
190	0.310248169
191	0.3102230357
192	0.3101842752
193	0.3101510318
194	0.3100365689
195	0.3100001693
196	0.309900018
197	0.3097285827
198	0.3096194233
199	0.3095859774
200	0.3091110126
201	0.3089842079
202	0.3089366661
203	0.3088274347
204	0.3088024843
205	0.3086154976
206	0.3085405757
207	0.3084192944
208	0.3083517426
209	0.3083138768
210	0.3081798451
211	0.3080053228
212	0.3079710173
213	0.3078437699
214	0.3076123208
215	0.3075308685
216	0.307231247
217	0.3071809981
218	0.3071490949
219	0.3070077221
220	0.3069152542
221	0.3068338679
222	0.3067274512
223	0.3066757317
224	0.3066424797
225	0.3064470968
226	0.3064068783
227	0.3063561215
228	0.3063034192
229	0.3062584026
230	0.3058997529
231	0.3058625018
232	0.3058201205
233	0.3057656367
234	0.3057104367
235	0.3054525081
236	0.3054217108
237	0.3052394428
238	0.3051934447
239	0.3051307203
240	0.3050759928
241	0.3049968285
242	0.3049445312
243	0.3046117812
244	0.3045248232
245	0.3042935017
246	0.3040940449
247	0.303781724
248	0.3037442519
249	0.3037047003
250	0.3034959404
251	0.3034016859
252	0.3032854992
253	0.3031643218
254	0.3031119128
255	0.3030634586
256	0.3027455263
257	0.3023647361
258	0.302330785
259	0.3020472681
260	0.3020020879
261	0.3019653291
262	0.3018926744
263	0.3017994425
264	0.3014839851
265	0.3014451923
266	0.3012216092
267	0.3011941261
268	0.3010841627
269	0.3010380705
270	0.3009453027
271	0.3008837464
272	0.3008370702
273	0.3007605767
274	0.3007140034
275	0.3006160234
276	0.3005770819
277	0.3005361367
278	0.3004975132
279	0.3004541827
280	0.3003742979
281	0.3000603459
282	0.3000273593
283	0.299983999
284	0.299926326
285	0.2998161227
286	0.2997564514
287	0.2996997639
288	0.2996180983
289	0.2995500049
290	0.2994845485
291	0.2993790572
292	0.2993335311
293	0.2992910906
294	0.2992648315
295	0.2992030362
296	0.2991377546
297	0.2991056474
298	0.2990541603
299	0.2989502149
300	0.298891087
301	0.2988517644
302	0.2987978684
303	0.2986268024
304	0.2985277895
305	0.2984085976
306	0.2983608202
307	0.2983103256
308	0.2982660202
309	0.2982326266
310	0.29801863
311	0.2979480589
312	0.2978950453
313	0.2978223681
314	0.2977794497
315	0.2977347871
