iter	Passed	Remaining
0	182	91058
1	205	51126
2	222	36849
3	241	29940
4	266	26372
5	290	23896
6	313	22065
7	333	20533
8	353	19306
9	376	18439
10	399	17764
11	425	17283
12	455	17047
13	493	17128
14	522	16906
15	550	16653
16	575	16355
17	601	16102
18	624	15812
19	654	15703
20	688	15693
21	719	15639
22	752	15613
23	788	15629
24	822	15628
25	851	15514
26	876	15351
27	898	15154
28	921	14967
29	943	14777
30	966	14622
31	990	14485
32	1016	14378
33	1039	14247
34	1063	14126
35	1086	13998
36	1110	13891
37	1134	13795
38	1158	13692
39	1181	13586
40	1203	13473
41	1226	13374
42	1251	13297
43	1277	13241
44	1306	13207
45	1332	13148
46	1357	13080
47	1382	13018
48	1412	12999
49	1440	12966
50	1466	12911
51	1492	12856
52	1520	12825
53	1546	12776
54	1572	12726
55	1596	12660
56	1623	12618
57	1654	12609
58	1688	12617
59	1724	12645
60	1756	12642
61	1783	12599
62	1808	12547
63	1835	12501
64	1861	12460
65	1887	12412
66	1912	12359
67	1941	12331
68	1966	12286
69	1992	12238
70	2018	12196
71	2042	12142
72	2070	12108
73	2095	12062
74	2122	12029
75	2149	11992
76	2174	11947
77	2200	11905
78	2225	11862
79	2285	11997
80	2340	12109
81	2406	12268
82	2448	12300
83	2479	12279
84	2505	12230
85	2529	12174
86	2554	12127
87	2580	12080
88	2608	12046
89	2636	12009
90	2661	11964
91	2685	11907
92	2708	11855
93	2732	11804
94	2757	11754
95	2784	11719
96	2808	11666
97	2832	11618
98	2855	11567
99	2878	11514
100	2903	11471
101	2929	11432
102	2954	11387
103	2978	11341
104	3005	11306
105	3031	11266
106	3056	11225
107	3081	11186
108	3108	11149
109	3135	11117
110	3170	11109
111	3203	11096
112	3233	11072
113	3261	11044
114	3289	11011
115	3315	10976
116	3340	10936
117	3369	10906
118	3403	10895
119	3434	10875
120	3463	10849
121	3489	10810
122	3516	10778
123	3545	10751
124	3574	10724
125	3603	10695
126	3640	10691
127	3673	10676
128	3704	10653
129	3729	10614
130	3752	10568
131	3774	10522
132	3798	10480
133	3820	10435
134	3846	10398
135	3870	10359
136	3894	10318
137	3916	10274
138	3939	10230
139	3961	10186
140	3982	10139
141	4003	10092
142	4024	10048
143	4050	10013
144	4075	9977
145	4098	9938
146	4122	9900
147	4148	9867
148	4174	9833
149	4206	9815
150	4235	9789
151	4262	9759
152	4287	9724
153	4314	9692
154	4339	9658
155	4365	9627
156	4391	9595
157	4416	9559
158	4440	9522
159	4464	9487
160	4490	9455
161	4514	9418
162	4538	9383
163	4562	9347
164	4589	9317
165	4620	9296
166	4654	9280
167	4687	9263
168	4714	9233
169	4736	9195
170	4758	9155
171	4780	9117
172	4802	9078
173	4829	9048
174	4855	9018
175	4885	8992
176	4910	8960
177	4934	8926
178	4958	8892
179	4985	8862
180	5009	8828
181	5031	8791
182	5054	8756
183	5077	8720
184	5100	8685
185	5124	8651
186	5147	8615
187	5169	8579
188	5192	8543
189	5213	8506
190	5238	8474
191	5262	8442
192	5289	8414
193	5314	8382
194	5338	8349
195	5360	8313
196	5382	8277
197	5403	8242
198	5426	8207
199	5448	8172
200	5470	8137
201	5494	8106
202	5521	8078
203	5547	8048
204	5570	8016
205	5593	7983
206	5615	7948
207	5637	7913
208	5660	7880
209	5686	7852
210	5713	7825
211	5740	7798
212	5766	7769
213	5792	7741
214	5819	7714
215	5846	7687
216	5873	7659
217	5898	7629
218	5922	7599
219	5949	7571
220	5974	7542
221	5999	7512
222	6022	7481
223	6052	7457
224	6085	7437
225	6116	7415
226	6146	7391
227	6175	7366
228	6205	7343
229	6232	7316
230	6258	7287
231	6283	7258
232	6308	7228
233	6333	7199
234	6362	7175
235	6391	7150
236	6420	7124
237	6448	7099
238	6478	7074
239	6504	7046
240	6530	7017
241	6554	6988
242	6583	6962
243	6609	6934
244	6639	6910
245	6672	6889
246	6707	6870
247	6747	6856
248	6789	6844
249	6826	6826
250	6859	6805
251	6894	6785
252	6926	6762
253	6961	6742
254	6995	6720
255	7028	6699
256	7060	6675
257	7093	6653
258	7128	6632
259	7162	6611
260	7200	6593
261	7237	6574
262	7270	6551
263	7303	6528
264	7333	6503
265	7361	6475
266	7388	6448
267	7416	6420
268	7442	6391
269	7466	6360
270	7491	6330
271	7514	6299
272	7540	6269
273	7571	6244
274	7606	6223
275	7642	6202
276	7678	6181
277	7707	6154
278	7735	6127
279	7762	6098
280	7787	6069
281	7820	6045
282	7853	6022
283	7885	5997
284	7917	5972
285	7949	5948
286	7983	5925
287	8015	5900
288	8048	5875
289	8079	5850
290	8112	5826
291	8144	5801
292	8172	5773
293	8203	5747
294	8234	5722
295	8264	5696
296	8292	5667
297	8321	5640
298	8348	5612
299	8375	5583
300	8403	5555
301	8429	5526
302	8454	5497
303	8481	5468
304	8510	5440
305	8539	5413
306	8567	5386
307	8593	5356
308	8622	5329
309	8660	5308
310	8699	5286
311	8737	5264
312	8770	5240
313	8803	5214
314	8833	5187
315	8864	5161
316	8898	5136
317	8929	5110
318	8963	5085
319	8997	5061
320	9030	5035
321	9061	5008
322	9090	4981
323	9118	4953
324	9145	4924
325	9173	4896
326	9200	4867
327	9228	4839
328	9258	4812
329	9290	4785
330	9320	4758
331	9355	4734
332	9388	4708
333	9416	4679
334	9442	4650
335	9467	4620
336	9489	4589
337	9511	4558
338	9532	4527
339	9555	4496
340	9586	4469
341	9614	4441
342	9638	4411
343	9681	4390
344	9756	4383
345	9815	4368
346	9861	4348
347	9896	4322
348	9926	4294
349	9960	4268
350	9994	4242
351	10027	4216
352	10059	4189
353	10095	4163
354	10128	4137
355	10163	4111
356	10194	4083
357	10228	4057
358	10258	4029
359	10290	4001
360	10323	3975
361	10357	3948
362	10392	3922
363	10427	3895
364	10462	3869
